,id,language
0,33065009,English
1,33008241,English
2,39024702,French
3,38382924,English
4,29010030,English
5,35183790,French
6,942854,English
7,32462033,English
8,32157022,French
9,36620067,French
10,38571010,English
11,22144481,English
12,34040260,English
13,32980483,English
14,24869018,English
15,230616,English
16,8878939,English
17,14248618,English
18,32719904,English
19,37528610,English
20,28820346,English
21,36744365,French
22,22855116,French
23,22317130,English
24,39401465,English
25,30503827,French
26,20198540,French
27,9016677,French
28,34538987,English
29,37452242,French
30,35084050,French
31,29625184,French
32,35926618,English
33,38900347,English
34,19835924,English
35,10721347,French
36,31973871,French
37,13934385,English
38,2284037,English
39,28104607,English
40,35836219,French
41,39526510,English
42,16557037,English
43,23799994,English
44,1608961,English
45,4984167,English
46,6395520,French
47,18635221,French
48,36142050,French
49,888155,English
50,15246995,French
51,25962550,English
52,37272194,French
53,9985835,English
54,11649103,English
55,12131391,French
56,27504585,French
57,21679984,French
58,32322342,French
59,34250951,French
60,8350497,English
61,11915617,English
62,12807589,English
63,13038232,Italian
64,17550274,French
65,4853809,English
66,18226429,French
67,1035686,French
68,6918587,French
69,29470873,English
70,24024762,French
71,6594661,French
72,6912218,English
73,28852165,English
74,30412138,English
75,8515039,French
76,8528840,English
77,9103917,English
78,37505351,English
79,2792575,English
80,26120162,French
81,26091561,French
82,25790942,English
83,25424451,French
84,37934582,English
85,37898595,French
86,37387986,French
87,37362042,English
88,37358331,English
89,37236616,English
90,37081876,English
91,36925918,French
92,36784302,English
93,36762452,English
94,36659685,English
95,36613207,English
96,18239203,English
97,18157224,French
98,31248254,English
99,30727213,English
100,29630170,English
101,29506106,French
102,29473412,French
103,27189625,English
104,35750789,French
105,35703176,English
106,35575679,English
107,35203979,French
108,34927077,English
109,34797821,English
110,34781572,English
111,34699483,English
112,34670684,English
113,20938594,English
114,19859553,English
115,19733542,French
116,19540217,French
117,19493327,English
118,19237472,French
119,18859191,English
120,18694533,English
121,18562736,French
122,18351737,English
123,17989442,French
124,17647835,French
125,15373267,English
126,15332500,French
127,15332211,English
128,15036705,English
129,39865946,French
130,39622908,English
131,39333747,French
132,39264962,French
133,39210000,English
134,39027136,French
135,38719400,English
136,38718945,French
137,38636725,French
138,38141138,English
139,36416013,English
140,36382953,English
141,36365731,English
142,36267513,French
143,36227389,English
144,36056710,French
145,8345639,French
146,8288651,French
147,8266814,French
148,8222051,English
149,8208928,English
150,7884496,French
151,7635191,French
152,7595461,English
153,7499558,French
154,7452983,French
155,16737380,English
156,16612565,French
157,7304429,French
158,7268645,English
159,7268278,French
160,4445390,French
161,4385903,English
162,4316599,English
163,4221469,English
164,4169342,English
165,3819357,French
166,3800099,English
167,3690727,French
168,3671461,French
169,3641533,English
170,3640348,French
171,3336350,English
172,3269406,French
173,2610613,English
174,2535514,English
175,1988694,English
176,24592253,French
177,2985393,English
178,38469988,French
179,4895162,French
180,2995420,French
181,37950994,French
182,36415215,English
183,15389330,English
184,11384947,English
185,38993090,French
186,39686531,French
187,13096592,English
188,35779135,French
189,6804415,French
190,30684200,French
191,34240633,English
192,35033019,English
193,21689173,French
194,22963090,French
195,39411317,French
196,53734,English
197,36690481,French
198,11428839,French
199,22501110,English
200,8297547,French
201,34306559,English
202,13131994,English
203,13358103,French
204,13747752,French
205,13758052,French
206,13364832,French
207,13857165,French
208,13596672,French
209,13546692,French
210,13547771,French
211,14061828,French
212,14146584,French
213,13873590,French
214,14002049,French
215,14016345,French
216,15176818,French
217,14812983,French
218,15129625,French
219,16187770,French
220,17404718,French
221,19774594,French
222,20429360,French
223,22714677,English
224,22954152,French
225,23230912,French
226,24933343,English
227,23972745,French
228,24613971,French
229,25444080,English
230,25475183,French
231,25760797,French
232,26158921,French
233,25906426,French
234,26626154,English
235,27251781,French
236,27717270,English
237,29439815,English
238,28998674,French
239,30627067,French
240,33058553,English
241,32802674,French
242,35556285,English
243,38155532,French
244,39362360,French
245,9097341,French
246,17324176,French
247,32888494,French
248,7104001,French
249,39549800,French
250,13820679,French
251,18230960,French
252,18430369,French
253,4614177,French
254,22682427,French
255,8300860,French
256,10026188,English
257,21443172,French
258,38483518,English
259,39029913,English
260,6640639,English
261,8126617,English
262,734630,French
263,3696717,English
264,4739902,English
265,620189,French
266,28219035,French
267,13520383,French
268,8803178,English
269,23469727,English
270,7023200,English
271,18645500,English
272,14664474,English
273,34191653,English
274,14116291,English
275,9879372,English
276,27535469,French
277,19652186,French
278,6822177,English
279,7347383,English
280,8821584,English
281,4489396,French
282,10120355,English
283,11955060,English
284,35478666,French
285,38327092,French
286,33331591,English
287,38872242,French
288,8647335,French
289,8950173,French
290,17582254,French
291,29747729,English
292,31656237,French
293,33328993,English
294,7255103,French
295,8820477,English
296,39794364,English
297,1275957,English
298,21675142,French
299,13949153,French
300,16370461,French
301,39192223,English
302,2892394,English
303,35591580,English
304,29774509,French
305,36028760,English
306,35956764,English
307,34314827,French
308,34265072,French
309,33763419,French
310,13931702,French
311,13873417,English
312,13831812,French
313,13721616,French
314,13705361,French
315,19210162,French
316,19155279,French
317,35117062,French
318,35017625,English
319,34706885,English
320,6919917,English
321,6907123,English
322,6739852,English
323,6720898,English
324,892257,English
325,799793,English
326,704192,English
327,636632,English
328,610926,English
329,579977,English
330,546759,English
331,476708,English
332,39867537,English
333,39834047,French
334,39808131,English
335,39384158,French
336,31305035,English
337,31166187,English
338,30495888,English
339,30490207,English
340,30461794,English
341,26333152,French
342,26175983,English
343,26171053,English
344,17260319,French
345,17010159,English
346,16600016,English
347,15826210,French
348,15527252,English
349,15518381,French
350,15218479,French
351,14798879,French
352,685811,English
353,584994,French
354,38668522,French
355,38653027,French
356,38597961,English
357,38531220,French
358,38503526,English
359,38201309,English
360,37554069,French
361,37339504,English
362,37248391,English
363,37180504,English
364,37109467,English
365,36867316,English
366,36833026,English
367,20006639,French
368,19994746,French
369,19856135,English
370,19762816,French
371,19043129,French
372,18907945,English
373,18731040,French
374,18701527,French
375,18437170,English
376,18382229,English
377,12358531,English
378,12101553,English
379,11981678,English
380,29232310,Italian
381,34378435,French
382,26884008,French
383,26342433,English
384,26145353,English
385,21947218,French
386,8962398,English
387,8853567,English
388,8447735,French
389,7924734,English
390,7867684,English
391,7424026,French
392,7412410,English
393,7300363,French
394,7297424,English
395,36165060,French
396,36098897,English
397,36056338,French
398,27546900,French
399,4741657,French
400,4260583,French
401,4126858,English
402,3546261,French
403,11696689,French
404,11503195,English
405,11338988,English
406,10777269,English
407,9991670,French
408,9806230,French
409,9655384,English
410,9506469,English
411,9445674,English
412,36819971,English
413,36660865,French
414,36028326,French
415,35927913,French
416,35589074,French
417,35418373,French
418,35217456,English
419,35107315,English
420,35088500,English
421,35086153,English
422,34973249,French
423,34433467,French
424,34426853,French
425,34384485,English
426,14755090,
427,100%,
428,14027373,English
429,13831883,French
430,13820483,French
431,39896529,English
432,39555617,French
433,39192119,French
434,39159167,French
435,39134825,French
436,39120669,English
437,39051237,French
438,39041969,English
439,39012454,French
440,38972238,French
441,38971863,French
442,33606588,French
443,33516172,English
444,31196997,English
445,30955048,English
446,30506825,French
447,30365955,English
448,29863460,English
449,29625099,French
450,29385764,English
451,29323625,French
452,29296902,French
453,29233426,French
454,28859359,French
455,28731394,French
456,28589586,French
457,36333223,English
458,36296600,French
459,27323550,French
460,27321828,French
461,19110322,French
462,19082196,French
463,19065991,English
464,18410912,English
465,33658678,French
466,33241860,English
467,33036263,English
468,33001072,French
469,32805490,English
470,32353615,English
471,38474472,French
472,31913254,English
473,31830187,English
474,31687540,English
475,24441152,French
476,24428268,English
477,24277944,English
478,24118994,French
479,24010692,French
480,23800954,English
481,23663538,French
482,23337290,English
483,23010137,English
484,22933728,English
485,22803412,English
486,22432762,French
487,22116566,French
488,13996945,English
