,host_id,host_total_listings_count
0,28313443,72.0
1,248419822,1.0
2,115296025,32.0
3,24650806,1.0
4,86758450,1.0
5,264948039,1.0
6,126762,3.0
7,51567288,46.0
8,31171197,1.0
9,199219241,14.0
10,276248209,62.0
11,2667370,8.0
12,59372953,58.0
13,7642792,179.0
14,188002822,1.0
15,1205362,3.0
16,7642792,179.0
17,26695704,1.0
18,16638909,2.0
19,6069249,13.0
20,2968633,1.0
21,242067156,2.0
22,169040429,0.0
23,3081075,42.0
24,302502374,1.0
25,19852371,1.0
26,12685806,1.0
27,12764965,1.0
28,62409236,1.0
29,240050152,1.0
30,264272979,0.0
31,10912698,1.0
32,17229074,1.0
33,293720140,8.0
34,2608204,1.0
35,38057152,2.0
36,11945452,2.0
37,82826882,1.0
38,4959161,1.0
39,212008381,5.0
40,117355395,1.0
41,2107478,105.0
42,50236417,1.0
43,26996316,2.0
44,2339810,1.0
45,25693075,1.0
46,12414895,1.0
47,112426029,1.0
48,33452995,1.0
49,3497134,4.0
50,96954415,1.0
51,149099559,1.0
52,280594697,0.0
53,26264311,3.0
54,61787335,1.0
55,7639542,1.0
56,207355591,1.0
57,66603916,1.0
58,30334177,0.0
59,258595370,1.0
60,13234043,1.0
61,19425431,1.0
62,21000794,1.0
63,24311485,1.0
64,7569393,1.0
65,9120557,1.0
66,43701177,1.0
67,5701093,1.0
68,36261649,1.0
69,156158778,357.0
70,14023298,1.0
71,34499030,1.0
72,6748880,1.0
73,20063860,1.0
74,20215209,2.0
75,44815775,1.0
76,3799292,1.0
77,47456604,1.0
78,20752085,0.0
79,5814173,1.0
80,32564836,1.0
81,136714502,1.0
82,100889839,5.0
83,146663511,1.0
84,55540509,1.0
85,118144982,1.0
86,268169403,1.0
87,281217768,1.0
88,37050536,1.0
89,280342419,1.0
90,278907670,1.0
91,7714194,1.0
92,259355717,4.0
93,26819973,0.0
94,107247539,1136.0
95,131409462,7.0
96,14622593,2.0
97,13352000,1.0
98,105122386,2.0
99,229554606,3.0
100,223035266,1.0
101,32566850,1.0
102,15285078,2.0
103,204728525,1.0
104,17708733,0.0
105,268554558,1.0
106,7382364,1.0
107,263825599,2.0
108,1778552,1.0
109,262367293,1.0
110,7999704,2.0
111,261731581,1.0
112,261545497,1.0
113,129684505,1.0
114,140447053,1.0
115,65483351,1.0
116,66466411,2.0
117,136850478,1.0
118,11617938,10.0
119,131399014,1.0
120,56016826,26.0
121,102876178,2.0
122,13883460,1.0
123,122351810,1.0
124,22788584,1.0
125,14334438,1.0
126,97735937,1.0
127,7562717,1.0
128,94973338,1.0
129,306983165,0.0
130,304457811,1.0
131,199034870,3.0
132,194959636,0.0
133,300722523,1.0
134,153716503,1.0
135,295991258,1.0
136,296065217,3.0
137,57542002,2.0
138,137094377,184.0
139,88000311,1.0
140,2107478,105.0
141,129135089,119.0
142,14772574,2.0
143,62267806,0.0
144,6789244,0.0
145,12380723,1.0
146,24624656,1.0
147,43589171,1.0
148,21359726,1.0
149,754278,1.0
150,41563768,1.0
151,40049886,1.0
152,39308469,1.0
153,39281773,1.0
154,39004210,1.0
155,26996062,1.0
156,7642792,179.0
157,37412824,1.0
158,20594512,1.0
159,38057152,2.0
160,23071162,1.0
161,20073379,14.0
162,14528877,3.0
163,7642792,179.0
164,21634800,1.0
165,4282209,1.0
166,19518494,1.0
167,18787614,1.0
168,12530180,1.0
169,15467862,1.0
170,3269856,1.0
171,6541704,1.0
172,16238729,1.0
173,13369891,2.0
174,12983679,1.0
175,10256004,2.0
176,170668722,1.0
177,7642792,179.0
178,152242,24.0
179,25190565,1.0
180,15269931,2.0
181,286557600,3.0
182,17037121,101.0
183,7781322,1.0
184,26221438,2.0
185,298770213,0.0
186,189857818,0.0
187,8490180,1.0
188,37555047,0.0
189,19523188,1.0
190,177164150,2.0
191,258504398,1.0
192,92299779,2.0
193,8378595,1.0
194,17446647,2.0
195,27923015,1.0
196,250973,2.0
197,77935550,1.0
198,32201584,1.0
199,165079552,0.0
200,43432797,1.0
201,258910668,0.0
202,73140729,1.0
203,75766880,1.0
204,80517582,1.0
205,80644461,1.0
206,75854523,1.0
207,81864409,1.0
208,78597121,1.0
209,77352104,1.0
210,3796984,1.0
211,36181988,1.0
212,85440022,1.0
213,82061809,1.0
214,83544325,1.0
215,80634127,1.0
216,41095181,1.0
217,39529972,1.0
218,2939856,1.0
219,16332482,1.0
220,10775648,2.0
221,139591314,1.0
222,145758894,1.0
223,12954563,1.0
224,136213914,2.0
225,172839011,1.0
226,188501947,1.0
227,10905458,2.0
228,186014327,1.0
229,74408837,5.0
230,5315308,1.0
231,57659122,1.0
232,13848902,1.0
233,94912411,1.0
234,200103213,5.0
235,205254157,1.0
236,207543167,4.0
237,2990536,1.0
238,17011884,4.0
239,229539689,1.0
240,27247766,5.0
241,231130171,1.0
242,267516806,1.0
243,61654733,0.0
244,302347830,0.0
245,47430711,1.0
246,87879020,11.0
247,51250272,1.0
248,23556416,1.0
249,303869607,1.0
250,40587769,1.0
251,125930402,1.0
252,14222749,1.0
253,23904381,1.0
254,69938021,1.0
255,17238708,1.0
256,3269212,2.0
257,27021067,1.0
258,276248209,62.0
259,191828733,0.0
260,34756427,1.0
261,26989749,1.0
262,2379928,4.0
263,6069249,13.0
264,14646424,1.0
265,3073166,2.0
266,34965177,1.0
267,29676836,2.0
268,18238182,1.0
269,14397234,1.0
270,30046914,1.0
271,129527192,1.0
272,28620557,1.0
273,97084820,8.0
274,85069787,1.0
275,14826987,1.0
276,12429095,1.0
277,67911679,1.0
278,5150143,1.0
279,38492624,1.0
280,13189047,1.0
281,152957,1.0
282,7209734,1.0
283,2510148,1.0
284,266922598,1.0
285,64763883,0.0
286,197020348,9.0
287,110356944,0.0
288,27380825,1.0
289,46780948,1.0
290,74263016,1.0
291,6953311,1.0
292,87594488,1.0
293,156158778,357.0
294,37985606,1.0
295,44196068,2.0
296,212008381,5.0
297,6944143,1.0
298,73739677,1.0
299,19978893,1.0
300,107219593,1.0
301,9470414,0.0
302,14783077,1.0
303,254541291,66.0
304,199384469,6.0
305,271052261,0.0
306,6966004,1.0
307,59066770,4.0
308,17862179,1.0
309,17360976,1.0
310,19125606,1.0
311,52806641,1.0
312,6729185,1.0
313,3073166,2.0
314,79983113,1.0
315,77958971,1.0
316,72887258,1.0
317,55887395,1.0
318,47466038,1.0
319,261729873,1.0
320,36268779,1.0
321,30040586,1.0
322,8898230,1.0
323,10234212,1.0
324,4741407,1.0
325,2534649,1.0
326,3616371,1.0
327,3174104,2.0
328,801317,1.0
329,2153932,3.0
330,2688817,1.0
331,2362921,2.0
332,307002551,0.0
333,306491371,0.0
334,276248209,62.0
335,245844815,19.0
336,12104801,42.0
337,1711544,4.0
338,177930115,1.0
339,88202191,1.0
340,4300390,1.0
341,17852537,1.0
342,98356363,10.0
343,196587373,1.0
344,13431045,1.0
345,26534874,1.0
346,19772956,1.0
347,17652848,4.0
348,9249477,2.0
349,13899579,1.0
350,6812417,1.0
351,8803567,1.0
352,3370940,1.0
353,2882764,1.0
354,144477989,0.0
355,7442101,1.0
356,777568,2.0
357,27643294,0.0
358,2107478,105.0
359,266237674,3.0
360,91642772,1.0
361,14621264,0.0
362,7040632,0.0
363,279769099,1.0
364,279128014,1.0
365,12104801,42.0
366,144229947,5.0
367,33047043,0.0
368,6655457,1.0
369,9139031,1.0
370,139463706,1.0
371,15826404,1.0
372,7642792,179.0
373,14245396,2.0
374,11253750,1.0
375,127795669,1.0
376,127308118,1.0
377,37458020,1.0
378,56974784,7.0
379,64034207,1.0
380,5108190,5.0
381,157932055,295.0
382,929759,1.0
383,2667370,8.0
384,93520,1.0
385,6679249,2.0
386,46840995,1.0
387,22424477,1.0
388,36266598,1.0
389,41083909,2.0
