,host_id,host_is_superhost
0,28313443,f
1,248419822,f
2,115296025,f
3,24650806,f
4,86758450,f
5,264948039,t
6,126762,f
7,51567288,f
8,31171197,f
9,199219241,f
10,276248209,f
11,2667370,f
12,59372953,f
13,7642792,f
14,188002822,f
15,1205362,f
16,7642792,f
17,26695704,f
18,16638909,f
19,6069249,t
20,2968633,f
21,242067156,f
22,169040429,t
23,3081075,f
24,302502374,f
25,19852371,f
26,12685806,f
27,12764965,t
28,62409236,t
29,240050152,f
30,264272979,f
31,10912698,f
32,17229074,f
33,293720140,f
34,2608204,f
35,38057152,f
36,11945452,f
37,82826882,f
38,4959161,f
39,212008381,f
40,117355395,f
41,2107478,t
42,50236417,f
43,26996316,f
44,2339810,f
45,25693075,f
46,12414895,f
47,112426029,f
48,33452995,f
49,3497134,t
50,96954415,f
51,149099559,t
52,280594697,f
53,26264311,f
54,61787335,f
55,7639542,f
56,207355591,f
57,66603916,f
58,30334177,f
59,258595370,f
60,13234043,f
61,19425431,f
62,21000794,f
63,24311485,f
64,7569393,f
65,9120557,f
66,43701177,f
67,5701093,f
68,36261649,f
69,156158778,f
70,14023298,f
71,34499030,f
72,6748880,f
73,20063860,f
74,20215209,f
75,44815775,f
76,3799292,t
77,47456604,f
78,20752085,f
79,5814173,f
80,32564836,f
81,136714502,f
82,100889839,f
83,146663511,f
84,55540509,f
85,118144982,f
86,268169403,f
87,281217768,f
88,37050536,f
89,280342419,f
90,278907670,f
91,7714194,f
92,259355717,f
93,26819973,f
94,107247539,f
95,131409462,f
96,14622593,f
97,13352000,f
98,105122386,f
99,229554606,f
100,223035266,f
101,32566850,f
102,15285078,f
103,204728525,f
104,17708733,f
105,268554558,f
106,7382364,f
107,263825599,f
108,1778552,t
109,262367293,f
110,7999704,f
111,261731581,f
112,261545497,t
113,129684505,t
114,140447053,f
115,65483351,f
116,66466411,f
117,136850478,f
118,11617938,f
119,131399014,t
120,56016826,f
121,102876178,f
122,13883460,f
123,122351810,t
124,22788584,f
125,14334438,t
126,97735937,f
127,7562717,f
128,94973338,f
129,306983165,f
130,304457811,f
131,199034870,t
132,194959636,f
133,300722523,f
134,153716503,f
135,295991258,f
136,296065217,f
137,57542002,f
138,137094377,f
139,88000311,f
140,2107478,t
141,129135089,f
142,14772574,t
143,62267806,f
144,6789244,f
145,12380723,f
146,24624656,f
147,43589171,f
148,21359726,f
149,754278,f
150,41563768,f
151,40049886,t
152,39308469,f
153,39281773,t
154,39004210,f
155,26996062,t
156,7642792,f
157,37412824,f
158,20594512,f
159,38057152,f
160,23071162,f
161,20073379,f
162,14528877,f
163,7642792,f
164,21634800,f
165,4282209,f
166,19518494,f
167,18787614,f
168,12530180,f
169,15467862,f
170,3269856,f
171,6541704,f
172,16238729,f
173,13369891,f
174,12983679,f
175,10256004,f
176,170668722,f
177,7642792,f
178,152242,f
179,25190565,f
180,15269931,f
181,286557600,f
182,17037121,f
183,7781322,f
184,26221438,f
185,298770213,f
186,189857818,f
187,8490180,t
188,37555047,f
189,19523188,f
190,177164150,f
191,258504398,f
192,92299779,f
193,8378595,f
194,17446647,f
